candidate,office,district,party,county,precinct,votes,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 9,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 9,1,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 9,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 9,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,2,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 1 ED 10,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 1 ED 10,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 1 ED 10,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 1 ED 10,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 1 ED 10,2,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,1,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,1,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,1,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,1,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,1,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,1,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 1 ED 10,0,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 10,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 10,1,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 10,1,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 10,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 10,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 1 ED 10,0,,
