candidate,office,district,party,county,precinct,election_day,absentee,votes
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",21,3,24
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",4,0,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",88,10,98
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",6,3,9
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",1,1,2
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",2,0,2
Blanks,Attorney General,,REFORM,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Kingston Ward 2 _1,2 (Frog Alley)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),50,6,56
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),70,8,78
Blanks,Governor,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),3,0,3
Voids,Governor,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),41,6,47
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),23,1,24
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),2,0,2
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),54,7,61
Blanks,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 2 _3 (St. Johns),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Kingston Ward 2 _3 (St. Johns),3,2,5
Mike Diederich,Attorney General,,REFORM,Ulster,Kingston Ward 2 _3 (St. Johns),1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,Kingston Ward 2 _3 (St. Johns),1,0,1
Blanks,Attorney General,,REFORM,Ulster,Kingston Ward 2 _3 (St. Johns),0,0,0
Voids,Attorney General,,REFORM,Ulster,Kingston Ward 2 _3 (St. Johns),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Kingston Ward 2 _3 (St. Johns),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",154,13,167
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",174,21,195
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",4,1,5
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",95,5,100
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",34,5,39
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",2,0,2
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",197,22,219
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",4,3,7
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",1,0,1
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",3,3,6
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",0,1,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",0,1,1
Blanks,Attorney General,,REFORM,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",0,1,1
Write-ins,Attorney General,,REFORM,Ulster,"Kingston Ward 3 _1,2,3 (GW School)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",93,7,100
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",105,11,116
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",2,0,2
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",45,2,47
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",43,7,50
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",4,0,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",103,6,109
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",5,2,7
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",3,0,3
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",3,0,3
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",2,0,2
Blanks,Attorney General,,REFORM,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Kingston Ward 4 _1,2 (Everett Hodge)",1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",346,28,374
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",362,41,403
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",14,2,16
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",3,1,4
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",150,19,169
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",133,8,141
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",21,1,22
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",394,36,430
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",19,3,22
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",7,5,12
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",1,0,1
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",,5,5
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",,1,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",,2,2
Blanks,Attorney General,,REFORM,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",,1,1
Voids,Attorney General,,REFORM,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Kingston Wards 5,7,9 _1,2,3 (Mid Town Cntr)",,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),40,2,42
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),61,2,63
Blanks,Governor,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),1,0,1
Voids,Governor,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),28,0,28
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),19,1,20
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),2,1,3
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),50,2,52
Blanks,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Voids,Attorney General,,REFORM,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Kingston Ward 6 _1 (UARC),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",79,10,89
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",86,10,96
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",2,1,3
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",35,2,37
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",40,5,45
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",5,1,6
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",78,9,87
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",9,2,11
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",0,2,2
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",0,0,0
Blanks,Attorney General,,REFORM,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Kingston Ward 6 _2,3 (Birchwood)",1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",121,11,132
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",112,12,124
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",3,1,4
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",2,0,2
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",40,4,44
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",52,3,55
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",2,2,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",133,13,146
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",8,2,10
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",3,0,3
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",2,0,2
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",1,0,1
Blanks,Attorney General,,REFORM,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",1,0,1
Voids,Attorney General,,REFORM,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Kingston Ward 8 _1,2,3 (St. Mary's)",1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),17,3,20
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),13,1,14
Blanks,Governor,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Voids,Governor,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),4,0,4
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),4,0,4
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),3,0,3
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),19,4,23
Blanks,Attorney General,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Voids,Attorney General,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Pramilla Malick,State Senate,42,DEMOCRATIC,Ulster,Denning 1 (Denning TH),3,2,5
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,Denning 1 (Denning TH),25,2,27
Blanks,State Senate,42,DEMOCRATIC,Ulster,Denning 1 (Denning TH),2,0,2
Voids,State Senate,42,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Write-ins,State Senate,42,DEMOCRATIC,Ulster,Denning 1 (Denning TH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Denning 1 (Denning TH),1,0,1
Voids,Attorney General,,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Ann G Rabbitt,State Senate,42,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Blanks,State Senate,42,REFORM,Ulster,Denning 1 (Denning TH),1,0,1
Voids,State Senate,42,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Write-ins,State Senate,42,REFORM,Ulster,Denning 1 (Denning TH),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),8,0,8
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),6,0,6
Blanks,Governor,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,0,0
Voids,Governor,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,1,1
Write-ins,Governor,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),9,0,9
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,0,0
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,0,0
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),5,0,5
Blanks,Attorney General,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,0,0
Voids,Attorney General,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,0,0
Pramilla Malick,State Senate,42,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),5,0,5
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),8,0,8
Blanks,State Senate,42,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),1,0,1
Voids,State Senate,42,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,1,1
Write-ins,State Senate,42,DEMOCRATIC,Ulster,Denning 2 (Sundown Church),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Voids,Attorney General,,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Ann G Rabbitt,State Senate,42,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Blanks,State Senate,42,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Voids,State Senate,42,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Write-ins,State Senate,42,REFORM,Ulster,Denning 2 (Sundown Church),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",130,10,140
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",221,19,240
Blanks,Governor,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",5,2,7
Voids,Governor,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",118,10,128
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",54,5,59
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",12,1,13
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",167,13,180
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",6,0,6
Voids,Attorney General,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",0,2,2
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",5,1,6
Mike Diederich,Attorney General,,REFORM,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",4,3,7
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",2,0,2
Blanks,Attorney General,,REFORM,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Esopus 1,2,5,6 _1 (Esopus TH)",2,0,2
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),60,3,63
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),54,4,58
Blanks,Governor,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),3,0,3
Voids,Governor,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),32,0,32
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),15,0,15
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),1,0,1
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),66,7,73
Blanks,Attorney General,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Esopus 3 (Esopus FH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Esopus 3 (Esopus FH),2,0,2
Mike Diederich,Attorney General,,REFORM,Ulster,Esopus 3 (Esopus FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Esopus 3 (Esopus FH),1,0,1
Blanks,Attorney General,,REFORM,Ulster,Esopus 3 (Esopus FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Esopus 3 (Esopus FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Esopus 3 (Esopus FH),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),91,7,98
