county,precinct,office,district,candidate,party,votes,updated
Madison,Town of Brookfield 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,1,
Madison,Town of Brookfield 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,3,
Madison,Town of Brookfield 1,President,,Brock Pierce/Karla Ballard,IND,0,
Madison,Town of Brookfield 1,President,,Write-ins,,0,
Madison,Town of Brookfield 1,President,,Voids,,4,
Madison,Town of Brookfield 1,President,,Blanks,,1,
Madison,Town of Brookfield 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,133,
Madison,Town of Brookfield 2,President,,Donald J. Trump/Michael R. Pence,REP,320,
Madison,Town of Brookfield 2,President,,Donald J. Trump/Michael R. Pence,CON,19,
Madison,Town of Brookfield 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,4,
Madison,Town of Brookfield 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Brookfield 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,6,
Madison,Town of Brookfield 2,President,,Brock Pierce/Karla Ballard,IND,5,
Madison,Town of Brookfield 2,President,,Write-ins,,1,
Madison,Town of Brookfield 2,President,,Voids,,0,
Madison,Town of Brookfield 2,President,,Blanks,,1,
Madison,Town of Brookfield 3,President,,Joseph R. Biden/Kamala D. Harris,DEM,102,
Madison,Town of Brookfield 3,President,,Donald J. Trump/Michael R. Pence,REP,190,
Madison,Town of Brookfield 3,President,,Donald J. Trump/Michael R. Pence,CON,27,
Madison,Town of Brookfield 3,President,,Joseph R. Biden/Kamala D. Harris,WOR,7,
Madison,Town of Brookfield 3,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Brookfield 3,President,,Jo Jorgensen/Jeremy Cohen,LBT,7,
Madison,Town of Brookfield 3,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Brookfield 3,President,,Write-ins,,0,
Madison,Town of Brookfield 3,President,,Voids,,0,
Madison,Town of Brookfield 3,President,,Blanks,,1,
Madison,Town of Cazenovia 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,243,
Madison,Town of Cazenovia 1,President,,Donald J. Trump/Michael R. Pence,REP,279,
Madison,Town of Cazenovia 1,President,,Donald J. Trump/Michael R. Pence,CON,28,
Madison,Town of Cazenovia 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,29,
Madison,Town of Cazenovia 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,5,
Madison,Town of Cazenovia 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,8,
Madison,Town of Cazenovia 1,President,,Brock Pierce/Karla Ballard,IND,5,
Madison,Town of Cazenovia 1,President,,Write-ins,,0,
Madison,Town of Cazenovia 1,President,,Voids,,4,
Madison,Town of Cazenovia 1,President,,Blanks,,6,
Madison,Town of Cazenovia 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,345,
Madison,Town of Cazenovia 2,President,,Donald J. Trump/Michael R. Pence,REP,201,
Madison,Town of Cazenovia 2,President,,Donald J. Trump/Michael R. Pence,CON,16,
Madison,Town of Cazenovia 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,14,
Madison,Town of Cazenovia 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,8,
Madison,Town of Cazenovia 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,9,
Madison,Town of Cazenovia 2,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Cazenovia 2,President,,Write-ins,,0,
Madison,Town of Cazenovia 2,President,,Voids,,2,
Madison,Town of Cazenovia 2,President,,Blanks,,4,
Madison,Town of Cazenovia 3,President,,Joseph R. Biden/Kamala D. Harris,DEM,433,
Madison,Town of Cazenovia 3,President,,Donald J. Trump/Michael R. Pence,REP,164,
Madison,Town of Cazenovia 3,President,,Donald J. Trump/Michael R. Pence,CON,12,
Madison,Town of Cazenovia 3,President,,Joseph R. Biden/Kamala D. Harris,WOR,33,
Madison,Town of Cazenovia 3,President,,Howie Hawkins/Angela Nicole Walker,GRE,8,
Madison,Town of Cazenovia 3,President,,Jo Jorgensen/Jeremy Cohen,LBT,8,
Madison,Town of Cazenovia 3,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Cazenovia 3,President,,Write-ins,,0,
Madison,Town of Cazenovia 3,President,,Voids,,2,
Madison,Town of Cazenovia 3,President,,Blanks,,3,
Madison,Town of Cazenovia 4,President,,Joseph R. Biden/Kamala D. Harris,DEM,471,
Madison,Town of Cazenovia 4,President,,Donald J. Trump/Michael R. Pence,REP,300,
Madison,Town of Cazenovia 4,President,,Donald J. Trump/Michael R. Pence,CON,34,
Madison,Town of Cazenovia 4,President,,Joseph R. Biden/Kamala D. Harris,WOR,14,
Madison,Town of Cazenovia 4,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Cazenovia 4,President,,Jo Jorgensen/Jeremy Cohen,LBT,12,
Madison,Town of Cazenovia 4,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Cazenovia 4,President,,Write-ins,,0,
Madison,Town of Cazenovia 4,President,,Voids,,5,
Madison,Town of Cazenovia 4,President,,Blanks,,4,
Madison,Town of Cazenovia 5,President,,Joseph R. Biden/Kamala D. Harris,DEM,483,
Madison,Town of Cazenovia 5,President,,Donald J. Trump/Michael R. Pence,REP,363,
Madison,Town of Cazenovia 5,President,,Donald J. Trump/Michael R. Pence,CON,32,
Madison,Town of Cazenovia 5,President,,Joseph R. Biden/Kamala D. Harris,WOR,14,
Madison,Town of Cazenovia 5,President,,Howie Hawkins/Angela Nicole Walker,GRE,6,
Madison,Town of Cazenovia 5,President,,Jo Jorgensen/Jeremy Cohen,LBT,23,
Madison,Town of Cazenovia 5,President,,Brock Pierce/Karla Ballard,IND,4,
Madison,Town of Cazenovia 5,President,,Write-ins,,3,
Madison,Town of Cazenovia 5,President,,Voids,,4,
Madison,Town of Cazenovia 5,President,,Blanks,,7,
Madison,Town of Cazenovia 6,President,,Joseph R. Biden/Kamala D. Harris,DEM,353,
Madison,Town of Cazenovia 6,President,,Donald J. Trump/Michael R. Pence,REP,230,
Madison,Town of Cazenovia 6,President,,Donald J. Trump/Michael R. Pence,CON,24,
Madison,Town of Cazenovia 6,President,,Joseph R. Biden/Kamala D. Harris,WOR,13,
Madison,Town of Cazenovia 6,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Cazenovia 6,President,,Jo Jorgensen/Jeremy Cohen,LBT,5,
Madison,Town of Cazenovia 6,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Cazenovia 6,President,,Write-ins,,0,
Madison,Town of Cazenovia 6,President,,Voids,,1,
Madison,Town of Cazenovia 6,President,,Blanks,,2,
Madison,Town of DeRuyter 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,225,
Madison,Town of DeRuyter 1,President,,Donald J. Trump/Michael R. Pence,REP,453,
Madison,Town of DeRuyter 1,President,,Donald J. Trump/Michael R. Pence,CON,46,
Madison,Town of DeRuyter 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,16,
Madison,Town of DeRuyter 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,6,
Madison,Town of DeRuyter 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,18,
Madison,Town of DeRuyter 1,President,,Brock Pierce/Karla Ballard,IND,5,
Madison,Town of DeRuyter 1,President,,Write-ins,,0,
Madison,Town of DeRuyter 1,President,,Voids,,1,
Madison,Town of DeRuyter 1,President,,Blanks,,5,
Madison,Town of Eaton 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,320,
Madison,Town of Eaton 1,President,,Donald J. Trump/Michael R. Pence,REP,382,
Madison,Town of Eaton 1,President,,Donald J. Trump/Michael R. Pence,CON,47,
Madison,Town of Eaton 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,17,
Madison,Town of Eaton 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Eaton 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,16,
Madison,Town of Eaton 1,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Eaton 1,President,,Write-ins,,0,
Madison,Town of Eaton 1,President,,Voids,,3,
Madison,Town of Eaton 1,President,,Blanks,,3,
Madison,Town of Eaton 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,287,
Madison,Town of Eaton 2,President,,Donald J. Trump/Michael R. Pence,REP,442,
Madison,Town of Eaton 2,President,,Donald J. Trump/Michael R. Pence,CON,50,
Madison,Town of Eaton 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,13,
Madison,Town of Eaton 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,7,
Madison,Town of Eaton 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,16,
Madison,Town of Eaton 2,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Eaton 2,President,,Write-ins,,0,
Madison,Town of Eaton 2,President,,Voids,,1,
Madison,Town of Eaton 2,President,,Blanks,,2,
Madison,Town of Fenner 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,332,
Madison,Town of Fenner 1,President,,Donald J. Trump/Michael R. Pence,REP,494,
Madison,Town of Fenner 1,President,,Donald J. Trump/Michael R. Pence,CON,36,
Madison,Town of Fenner 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,26,
Madison,Town of Fenner 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,Town of Fenner 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,16,
Madison,Town of Fenner 1,President,,Brock Pierce/Karla Ballard,IND,9,
Madison,Town of Fenner 1,President,,Write-ins,,1,
Madison,Town of Fenner 1,President,,Voids,,1,
Madison,Town of Fenner 1,President,,Blanks,,3,
Madison,Town of Georgetown 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,72,
Madison,Town of Georgetown 1,President,,Donald J. Trump/Michael R. Pence,REP,238,
Madison,Town of Georgetown 1,President,,Donald J. Trump/Michael R. Pence,CON,19,
Madison,Town of Georgetown 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,6,
Madison,Town of Georgetown 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Georgetown 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,2,
Madison,Town of Georgetown 1,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Georgetown 1,President,,Write-ins,,0,
Madison,Town of Georgetown 1,President,,Voids,,0,
Madison,Town of Georgetown 1,President,,Blanks,,3,
Madison,Town of Hamilton 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,326,
Madison,Town of Hamilton 1,President,,Donald J. Trump/Michael R. Pence,REP,97,
Madison,Town of Hamilton 1,President,,Donald J. Trump/Michael R. Pence,CON,5,
Madison,Town of Hamilton 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,50,
Madison,Town of Hamilton 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,Town of Hamilton 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,7,
Madison,Town of Hamilton 1,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Hamilton 1,President,,Write-ins,,0,
Madison,Town of Hamilton 1,President,,Voids,,3,
Madison,Town of Hamilton 1,President,,Blanks,,0,
Madison,Town of Hamilton 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,518,
Madison,Town of Hamilton 2,President,,Donald J. Trump/Michael R. Pence,REP,141,
Madison,Town of Hamilton 2,President,,Donald J. Trump/Michael R. Pence,CON,15,
Madison,Town of Hamilton 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,37,
Madison,Town of Hamilton 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,8,
Madison,Town of Hamilton 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,5,
Madison,Town of Hamilton 2,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Hamilton 2,President,,Write-ins,,0,
Madison,Town of Hamilton 2,President,,Voids,,1,
Madison,Town of Hamilton 2,President,,Blanks,,4,
Madison,Town of Hamilton 3,President,,Joseph R. Biden/Kamala D. Harris,DEM,110,
Madison,Town of Hamilton 3,President,,Donald J. Trump/Michael R. Pence,REP,151,
Madison,Town of Hamilton 3,President,,Donald J. Trump/Michael R. Pence,CON,18,
Madison,Town of Hamilton 3,President,,Joseph R. Biden/Kamala D. Harris,WOR,9,
Madison,Town of Hamilton 3,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Hamilton 3,President,,Jo Jorgensen/Jeremy Cohen,LBT,4,
Madison,Town of Hamilton 3,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Hamilton 3,President,,Write-ins,,0,
Madison,Town of Hamilton 3,President,,Voids,,0,
Madison,Town of Hamilton 3,President,,Blanks,,1,
Madison,Town of Hamilton 4,President,,Joseph R. Biden/Kamala D. Harris,DEM,290,
Madison,Town of Hamilton 4,President,,Donald J. Trump/Michael R. Pence,REP,330,
Madison,Town of Hamilton 4,President,,Donald J. Trump/Michael R. Pence,CON,33,
Madison,Town of Hamilton 4,President,,Joseph R. Biden/Kamala D. Harris,WOR,25,
Madison,Town of Hamilton 4,President,,Howie Hawkins/Angela Nicole Walker,GRE,7,
Madison,Town of Hamilton 4,President,,Jo Jorgensen/Jeremy Cohen,LBT,14,
Madison,Town of Hamilton 4,President,,Brock Pierce/Karla Ballard,IND,4,
Madison,Town of Hamilton 4,President,,Write-ins,,0,
Madison,Town of Hamilton 4,President,,Voids,,3,
Madison,Town of Hamilton 4,President,,Blanks,,6,
Madison,Town of Lebanon 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,80,
Madison,Town of Lebanon 1,President,,Donald J. Trump/Michael R. Pence,REP,139,
Madison,Town of Lebanon 1,President,,Donald J. Trump/Michael R. Pence,CON,17,
Madison,Town of Lebanon 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,2,
Madison,Town of Lebanon 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Lebanon 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,0,
Madison,Town of Lebanon 1,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Lebanon 1,President,,Write-ins,,0,
Madison,Town of Lebanon 1,President,,Voids,,1,
Madison,Town of Lebanon 1,President,,Blanks,,0,
Madison,Town of Lebanon 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,181,
Madison,Town of Lebanon 2,President,,Donald J. Trump/Michael R. Pence,REP,211,
Madison,Town of Lebanon 2,President,,Donald J. Trump/Michael R. Pence,CON,16,
Madison,Town of Lebanon 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,12,
Madison,Town of Lebanon 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,1,
Madison,Town of Lebanon 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,3,
Madison,Town of Lebanon 2,President,,Brock Pierce/Karla Ballard,IND,0,
Madison,Town of Lebanon 2,President,,Write-ins,,0,
Madison,Town of Lebanon 2,President,,Voids,,0,
Madison,Town of Lebanon 2,President,,Blanks,,3,
Madison,Town of Lenox 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,273,
Madison,Town of Lenox 1,President,,Donald J. Trump/Michael R. Pence,REP,515,
Madison,Town of Lenox 1,President,,Donald J. Trump/Michael R. Pence,CON,49,
Madison,Town of Lenox 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,18,
Madison,Town of Lenox 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Lenox 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,3,
Madison,Town of Lenox 1,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Lenox 1,President,,Write-ins,,0,
Madison,Town of Lenox 1,President,,Voids,,0,
Madison,Town of Lenox 1,President,,Blanks,,1,
Madison,Town of Lenox 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,226,
Madison,Town of Lenox 2,President,,Donald J. Trump/Michael R. Pence,REP,405,
Madison,Town of Lenox 2,President,,Donald J. Trump/Michael R. Pence,CON,32,
Madison,Town of Lenox 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,16,
Madison,Town of Lenox 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,Town of Lenox 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,11,
Madison,Town of Lenox 2,President,,Brock Pierce/Karla Ballard,IND,7,
Madison,Town of Lenox 2,President,,Write-ins,,0,
Madison,Town of Lenox 2,President,,Voids,,1,
Madison,Town of Lenox 2,President,,Blanks,,5,
Madison,Town of Lenox 3,President,,Joseph R. Biden/Kamala D. Harris,DEM,277,
Madison,Town of Lenox 3,President,,Donald J. Trump/Michael R. Pence,REP,407,
Madison,Town of Lenox 3,President,,Donald J. Trump/Michael R. Pence,CON,31,
Madison,Town of Lenox 3,President,,Joseph R. Biden/Kamala D. Harris,WOR,9,
Madison,Town of Lenox 3,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Lenox 3,President,,Jo Jorgensen/Jeremy Cohen,LBT,10,
Madison,Town of Lenox 3,President,,Brock Pierce/Karla Ballard,IND,7,
Madison,Town of Lenox 3,President,,Write-ins,,0,
Madison,Town of Lenox 3,President,,Voids,,1,
Madison,Town of Lenox 3,President,,Blanks,,1,
Madison,Town of Lenox 4,President,,Joseph R. Biden/Kamala D. Harris,DEM,251,
Madison,Town of Lenox 4,President,,Donald J. Trump/Michael R. Pence,REP,303,
Madison,Town of Lenox 4,President,,Donald J. Trump/Michael R. Pence,CON,16,
Madison,Town of Lenox 4,President,,Joseph R. Biden/Kamala D. Harris,WOR,8,
Madison,Town of Lenox 4,President,,Howie Hawkins/Angela Nicole Walker,GRE,0,
Madison,Town of Lenox 4,President,,Jo Jorgensen/Jeremy Cohen,LBT,5,
Madison,Town of Lenox 4,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Lenox 4,President,,Write-ins,,0,
Madison,Town of Lenox 4,President,,Voids,,2,
Madison,Town of Lenox 4,President,,Blanks,,0,
Madison,Town of Lenox 5,President,,Joseph R. Biden/Kamala D. Harris,DEM,353,
Madison,Town of Lenox 5,President,,Donald J. Trump/Michael R. Pence,REP,467,
Madison,Town of Lenox 5,President,,Donald J. Trump/Michael R. Pence,CON,28,
Madison,Town of Lenox 5,President,,Joseph R. Biden/Kamala D. Harris,WOR,15,
Madison,Town of Lenox 5,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,Town of Lenox 5,President,,Jo Jorgensen/Jeremy Cohen,LBT,14,
Madison,Town of Lenox 5,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Lenox 5,President,,Write-ins,,0,
Madison,Town of Lenox 5,President,,Voids,,0,
Madison,Town of Lenox 5,President,,Blanks,,6,
Madison,Town of Lenox 6,President,,Joseph R. Biden/Kamala D. Harris,DEM,122,
Madison,Town of Lenox 6,President,,Donald J. Trump/Michael R. Pence,REP,205,
Madison,Town of Lenox 6,President,,Donald J. Trump/Michael R. Pence,CON,17,
Madison,Town of Lenox 6,President,,Joseph R. Biden/Kamala D. Harris,WOR,3,
Madison,Town of Lenox 6,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Lenox 6,President,,Jo Jorgensen/Jeremy Cohen,LBT,7,
Madison,Town of Lenox 6,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Lenox 6,President,,Write-ins,,0,
Madison,Town of Lenox 6,President,,Voids,,0,
Madison,Town of Lenox 6,President,,Blanks,,3,
Madison,Town of Lincoln 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,150,
Madison,Town of Lincoln 1,President,,Donald J. Trump/Michael R. Pence,REP,265,
Madison,Town of Lincoln 1,President,,Donald J. Trump/Michael R. Pence,CON,18,
Madison,Town of Lincoln 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,8,
Madison,Town of Lincoln 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,1,
Madison,Town of Lincoln 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,5,
Madison,Town of Lincoln 1,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Lincoln 1,President,,Write-ins,,0,
Madison,Town of Lincoln 1,President,,Voids,,2,
Madison,Town of Lincoln 1,President,,Blanks,,1,
Madison,Town of Lincoln 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,142,
Madison,Town of Lincoln 2,President,,Donald J. Trump/Michael R. Pence,REP,307,
Madison,Town of Lincoln 2,President,,Donald J. Trump/Michael R. Pence,CON,31,
Madison,Town of Lincoln 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,6,
Madison,Town of Lincoln 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Lincoln 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,6,
Madison,Town of Lincoln 2,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Lincoln 2,President,,Write-ins,,0,
Madison,Town of Lincoln 2,President,,Voids,,1,
Madison,Town of Lincoln 2,President,,Blanks,,6,
Madison,Town of Madison 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,336,
Madison,Town of Madison 1,President,,Donald J. Trump/Michael R. Pence,REP,429,
Madison,Town of Madison 1,President,,Donald J. Trump/Michael R. Pence,CON,37,
Madison,Town of Madison 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,23,
Madison,Town of Madison 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Madison 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,9,
Madison,Town of Madison 1,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Madison 1,President,,Write-ins,,0,
Madison,Town of Madison 1,President,,Voids,,1,
Madison,Town of Madison 1,President,,Blanks,,4,
Madison,Town of Madison 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,281,
Madison,Town of Madison 2,President,,Donald J. Trump/Michael R. Pence,REP,334,
Madison,Town of Madison 2,President,,Donald J. Trump/Michael R. Pence,CON,33,
Madison,Town of Madison 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,18,
Madison,Town of Madison 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,5,
Madison,Town of Madison 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,9,
Madison,Town of Madison 2,President,,Brock Pierce/Karla Ballard,IND,6,
Madison,Town of Madison 2,President,,Write-ins,,0,
Madison,Town of Madison 2,President,,Voids,,2,
Madison,Town of Madison 2,President,,Blanks,,3,
Madison,Town of Nelson 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,248,
Madison,Town of Nelson 1,President,,Donald J. Trump/Michael R. Pence,REP,281,
