county,precinct,office,district,candidate,party,votes,absentee,affidavit,election_day
Jefferson,LeRay 5,Registered Voters,,,,414,,,
Jefferson,LeRay 6,Registered Voters,,,,374,,,
Jefferson,LeRay 7,Registered Voters,,,,389,,,
Jefferson,LeRay 8,Registered Voters,,,,1561,,,
Jefferson,Lorraine 1,Registered Voters,,,,638,,,
Jefferson,Lyme 1,Registered Voters,,,,600,,,
Jefferson,Lyme 2,Registered Voters,,,,797,,,
Jefferson,Lyme 3,Registered Voters,,,,414,,,
Jefferson,Orleans 1,Registered Voters,,,,1167,,,
Jefferson,Orleans 2,Registered Voters,,,,662,,,
Jefferson,Pamelia 1,Registered Voters,,,,975,,,
Jefferson,Pamelia 2,Registered Voters,,,,1090,,,
Jefferson,Philadelphia 1,Registered Voters,,,,558,,,
Jefferson,Philadelphia 2,Registered Voters,,,,454,,,
Jefferson,Rodman 1,Registered Voters,,,,799,,,
Jefferson,Rutland 1,Registered Voters,,,,759,,,
Jefferson,Rutland 2,Registered Voters,,,,736,,,
Jefferson,Rutland 3,Registered Voters,,,,250,,,
Jefferson,Theresa 1,Registered Voters,,,,1676,,,
Jefferson,Watertown 1,Registered Voters,,,,1693,,,
Jefferson,Watertown 2,Registered Voters,,,,1488,,,
Jefferson,Wilna 1,Registered Voters,,,,294,,,
Jefferson,Wilna 2,Registered Voters,,,,69,,,
Jefferson,Wilna 3,Registered Voters,,,,111,,,
Jefferson,Wilna 4,Registered Voters,,,,333,,,
Jefferson,Wilna 5,Registered Voters,,,,862,,,
Jefferson,Wilna 6,Registered Voters,,,,1182,,,
Jefferson,Worth 1,Registered Voters,,,,176,,,
Jefferson,City 12/1,Ballots Cast,,,,771,103,4,664
Jefferson,City 12/2,Ballots Cast,,,,630,48,3,579
Jefferson,City 12/3,Ballots Cast,,,,529,44,3,482
Jefferson,13/1,Ballots Cast,,,,535,46,2,487
Jefferson,13/2,Ballots Cast,,,,612,42,7,563
Jefferson,13/3,Ballots Cast,,,,372,21,9,342
Jefferson,14/1,Ballots Cast,,,,447,34,3,410
Jefferson,14/2,Ballots Cast,,,,237,20,4,213
Jefferson,15/1,Ballots Cast,,,,544,49,8,487
Jefferson,15/2,Ballots Cast,,,,628,51,7,570
Jefferson,15/3,Ballots Cast,,,,173,17,2,154
Jefferson,Adams 1,Ballots Cast,,,,580,39,8,533
Jefferson,Adams 2,Ballots Cast,,,,428,15,6,407
Jefferson,Adams 3,Ballots Cast,,,,838,45,5,788
Jefferson,Alexandria 1,Ballots Cast,,,,398,37,3,358
Jefferson,Alexandria 2,Ballots Cast,,,,533,74,5,454
Jefferson,Alexandria 3,Ballots Cast,,,,746,48,9,689
Jefferson,Antwerp 1,Ballots Cast,,,,176,10,4,162
Jefferson,Antwerp 2,Ballots Cast,,,,430,22,3,405
Jefferson,Brownville 1,Ballots Cast,,,,462,19,2,441
Jefferson,Brownville 2,Ballots Cast,,,,336,15,7,314
Jefferson,Brownville 3,Ballots Cast,,,,575,25,3,547
Jefferson,Brownville 4,Ballots Cast,,,,334,31,2,301
Jefferson,Brownville 5,Ballots Cast,,,,636,41,6,589
Jefferson,Cape Vincent 1,Ballots Cast,,,,376,33,5,338
Jefferson,Cape Vincent 2,Ballots Cast,,,,761,115,5,641
Jefferson,Champion 1,Ballots Cast,,,,895,52,7,836
Jefferson,Champion 2,Ballots Cast,,,,437,18,4,415
Jefferson,Clayton 1,Ballots Cast,,,,511,24,1,486
Jefferson,Clayton 2,Ballots Cast,,,,735,85,9,641
Jefferson,Clayton 3,Ballots Cast,,,,867,73,6,788
Jefferson,Ellisburg 1,Ballots Cast,,,,159,5,1,153
Jefferson,Elllisburg 2,Ballots Cast,,,,448,18,0,430
Jefferson,Ellisburg 3,Ballots Cast,,,,86,2,0,84
Jefferson,Ellisburg 4,Ballots Cast,,,,584,47,4,533
Jefferson,Henderson 1,Ballots Cast,,,,739,74,3,662
Jefferson,Hounsfield 1,Ballots Cast,,,,623,44,9,570
Jefferson,Hounsfield 2,Ballots Cast,,,,802,49,6,747
Jefferson,LeRay 1,Ballots Cast,,,,266,11,1,254
Jefferson,LeRay 2,Ballots Cast,,,,108,2,0,106
Jefferson,LeRay 3,Ballots Cast,,,,170,8,1,161
Jefferson,LeRay 4,Ballots Cast,,,,511,48,11,452
Jefferson,LeRay 5,Ballots Cast,,,,243,23,1,219
Jefferson,LeRay 6,Ballots Cast,,,,134,6,2,126
Jefferson,LeRay 7,Ballots Cast,,,,59,8,2,49
Jefferson,LeRay 8,Ballots Cast,,,,428,43,8,377
Jefferson,Lorraine 1,Ballots Cast,,,,422,18,2,402
Jefferson,Lyme 1,Ballots Cast,,,,387,22,4,361
Jefferson,Lyme 2,Ballots Cast,,,,504,55,6,443
Jefferson,Lyme 3,Ballots Cast,,,,226,11,6,209
Jefferson,Orleans 1,Ballots Cast,,,,673,19,4,650
Jefferson,Orleans 2,Ballots Cast,,,,419,52,1,366
Jefferson,Pamelia 1,Ballots Cast,,,,594,26,8,560
Jefferson,Pamelia 2,Ballots Cast,,,,605,28,3,574
Jefferson,Philadelphia 1,Ballots Cast,,,,252,19,5,228
Jefferson,Philadelphia 2,Ballots Cast,,,,282,19,12,251
Jefferson,Rodman 1,Ballots Cast,,,,510,14,0,496
Jefferson,Rutland 1,Ballots Cast,,,,471,14,0,457
Jefferson,Rutland 2,Ballots Cast,,,,367,24,2,341
Jefferson,Rutland 3,Ballots Cast,,,,128,5,0,123
Jefferson,Theresa 1,Ballots Cast,,,,950,57,8,885
Jefferson,Watertown 1,Ballots Cast,,,,875,68,4,803
Jefferson,Watertown 2,Ballots Cast,,,,890,63,8,819
Jefferson,Wilna 1,Ballots Cast,,,,121,8,1,112
Jefferson,Wilna 2,Ballots Cast,,,,31,0,3,28
Jefferson,Wilna 3,Ballots Cast,,,,69,1,2,66
Jefferson,Wilna 4,Ballots Cast,,,,201,10,2,189
Jefferson,Wilna 5,Ballots Cast,,,,469,36,0,433
Jefferson,Wilna 6,Ballots Cast,,,,516,34,5,477
Jefferson,Worth 1,Ballots Cast,,,,118,5,0,113
Jefferson,City 12/1,Governor,,Kathy C. Hochul,DEM,328,,,
Jefferson,City 12/2,Governor,,Kathy C. Hochul,DEM,242,,,
Jefferson,City 12/3,Governor,,Kathy C. Hochul,DEM,202,,,
Jefferson,13/1,Governor,,Kathy C. Hochul,DEM,199,,,
Jefferson,13/2,Governor,,Kathy C. Hochul,DEM,250,,,
Jefferson,13/3,Governor,,Kathy C. Hochul,DEM,133,,,
Jefferson,14/1,Governor,,Kathy C. Hochul,DEM,156,,,
Jefferson,14/2,Governor,,Kathy C. Hochul,DEM,83,,,
Jefferson,15/1,Governor,,Kathy C. Hochul,DEM,185,,,
Jefferson,15/2,Governor,,Kathy C. Hochul,DEM,206,,,
Jefferson,15/3,Governor,,Kathy C. Hochul,DEM,68,,,
Jefferson,Adams 1,Governor,,Kathy C. Hochul,DEM,195,,,
Jefferson,Adams 2,Governor,,Kathy C. Hochul,DEM,86,,,
Jefferson,Adams 3,Governor,,Kathy C. Hochul,DEM,197,,,
Jefferson,Alexandria 1,Governor,,Kathy C. Hochul,DEM,132,,,
Jefferson,Alexandria 2,Governor,,Kathy C. Hochul,DEM,143,,,
Jefferson,Alexandria 3,Governor,,Kathy C. Hochul,DEM,172,,,
Jefferson,Antwerp 1,Governor,,Kathy C. Hochul,DEM,42,,,
Jefferson,Antwerp 2,Governor,,Kathy C. Hochul,DEM,77,,,
Jefferson,Brownville 1,Governor,,Kathy C. Hochul,DEM,98,,,
Jefferson,Brownville 2,Governor,,Kathy C. Hochul,DEM,83,,,
Jefferson,Brownville 3,Governor,,Kathy C. Hochul,DEM,125,,,
Jefferson,Brownville 4,Governor,,Kathy C. Hochul,DEM,99,,,
Jefferson,Brownville 5,Governor,,Kathy C. Hochul,DEM,162,,,
Jefferson,Cape Vincent 1,Governor,,Kathy C. Hochul,DEM,128,,,
Jefferson,Cape Vincent 2,Governor,,Kathy C. Hochul,DEM,203,,,
Jefferson,Champion 1,Governor,,Kathy C. Hochul,DEM,182,,,
Jefferson,Champion 2,Governor,,Kathy C. Hochul,DEM,115,,,
Jefferson,Clayton 1,Governor,,Kathy C. Hochul,DEM,88,,,
Jefferson,Clayton 2,Governor,,Kathy C. Hochul,DEM,288,,,
Jefferson,Clayton 3,Governor,,Kathy C. Hochul,DEM,252,,,
Jefferson,Ellisburg 1,Governor,,Kathy C. Hochul,DEM,26,,,
Jefferson,Elllisburg 2,Governor,,Kathy C. Hochul,DEM,81,,,
Jefferson,Ellisburg 3,Governor,,Kathy C. Hochul,DEM,27,,,
Jefferson,Ellisburg 4,Governor,,Kathy C. Hochul,DEM,142,,,
Jefferson,Henderson 1,Governor,,Kathy C. Hochul,DEM,212,,,
Jefferson,Hounsfield 1,Governor,,Kathy C. Hochul,DEM,289,,,
Jefferson,Hounsfield 2,Governor,,Kathy C. Hochul,DEM,180,,,
Jefferson,LeRay 1,Governor,,Kathy C. Hochul,DEM,48,,,
Jefferson,LeRay 2,Governor,,Kathy C. Hochul,DEM,21,,,
Jefferson,LeRay 3,Governor,,Kathy C. Hochul,DEM,33,,,
Jefferson,LeRay 4,Governor,,Kathy C. Hochul,DEM,157,,,
Jefferson,LeRay 5,Governor,,Kathy C. Hochul,DEM,80,,,
Jefferson,LeRay 6,Governor,,Kathy C. Hochul,DEM,36,,,
Jefferson,LeRay 7,Governor,,Kathy C. Hochul,DEM,23,,,
Jefferson,LeRay 8,Governor,,Kathy C. Hochul,DEM,132,,,
Jefferson,Lorraine 1,Governor,,Kathy C. Hochul,DEM,65,,,
Jefferson,Lyme 1,Governor,,Kathy C. Hochul,DEM,97,,,
Jefferson,Lyme 2,Governor,,Kathy C. Hochul,DEM,152,,,
Jefferson,Lyme 3,Governor,,Kathy C. Hochul,DEM,55,,,
Jefferson,Orleans 1,Governor,,Kathy C. Hochul,DEM,110,,,
Jefferson,Orleans 2,Governor,,Kathy C. Hochul,DEM,131,,,
Jefferson,Pamelia 1,Governor,,Kathy C. Hochul,DEM,103,,,
Jefferson,Pamelia 2,Governor,,Kathy C. Hochul,DEM,146,,,
Jefferson,Philadelphia 1,Governor,,Kathy C. Hochul,DEM,75,,,
Jefferson,Philadelphia 2,Governor,,Kathy C. Hochul,DEM,55,,,
Jefferson,Rodman 1,Governor,,Kathy C. Hochul,DEM,72,,,
Jefferson,Rutland 1,Governor,,Kathy C. Hochul,DEM,76,,,
Jefferson,Rutland 2,Governor,,Kathy C. Hochul,DEM,62,,,
Jefferson,Rutland 3,Governor,,Kathy C. Hochul,DEM,39,,,
Jefferson,Theresa 1,Governor,,Kathy C. Hochul,DEM,203,,,
Jefferson,Watertown 1,Governor,,Kathy C. Hochul,DEM,270,,,
Jefferson,Watertown 2,Governor,,Kathy C. Hochul,DEM,210,,,
Jefferson,Wilna 1,Governor,,Kathy C. Hochul,DEM,33,,,
Jefferson,Wilna 2,Governor,,Kathy C. Hochul,DEM,11,,,
Jefferson,Wilna 3,Governor,,Kathy C. Hochul,DEM,18,,,
Jefferson,Wilna 4,Governor,,Kathy C. Hochul,DEM,36,,,
Jefferson,Wilna 5,Governor,,Kathy C. Hochul,DEM,77,,,
Jefferson,Wilna 6,Governor,,Kathy C. Hochul,DEM,172,,,
Jefferson,Worth 1,Governor,,Kathy C. Hochul,DEM,16,,,
Jefferson,City 12/1,Governor,,Lee Zeldin,REP,365,,,
Jefferson,City 12/2,Governor,,Lee Zeldin,REP,327,,,
Jefferson,City 12/3,Governor,,Lee Zeldin,REP,284,,,
Jefferson,13/1,Governor,,Lee Zeldin,REP,279,,,
Jefferson,13/2,Governor,,Lee Zeldin,REP,310,,,
Jefferson,13/3,Governor,,Lee Zeldin,REP,205,,,
Jefferson,14/1,Governor,,Lee Zeldin,REP,232,,,
Jefferson,14/2,Governor,,Lee Zeldin,REP,130,,,
Jefferson,15/1,Governor,,Lee Zeldin,REP,317,,,
Jefferson,15/2,Governor,,Lee Zeldin,REP,366,,,
Jefferson,15/3,Governor,,Lee Zeldin,REP,86,,,
Jefferson,Adams 1,Governor,,Lee Zeldin,REP,347,,,
Jefferson,Adams 2,Governor,,Lee Zeldin,REP,316,,,
Jefferson,Adams 3,Governor,,Lee Zeldin,REP,570,,,
Jefferson,Alexandria 1,Governor,,Lee Zeldin,REP,229,,,
Jefferson,Alexandria 2,Governor,,Lee Zeldin,REP,358,,,
Jefferson,Alexandria 3,Governor,,Lee Zeldin,REP,514,,,
Jefferson,Antwerp 1,Governor,,Lee Zeldin,REP,104,,,
Jefferson,Antwerp 2,Governor,,Lee Zeldin,REP,308,,,
Jefferson,Brownville 1,Governor,,Lee Zeldin,REP,332,,,
Jefferson,Brownville 2,Governor,,Lee Zeldin,REP,219,,,
Jefferson,Brownville 3,Governor,,Lee Zeldin,REP,405,,,
Jefferson,Brownville 4,Governor,,Lee Zeldin,REP,205,,,
Jefferson,Brownville 5,Governor,,Lee Zeldin,REP,428,,,
Jefferson,Cape Vincent 1,Governor,,Lee Zeldin,REP,221,,,
Jefferson,Cape Vincent 2,Governor,,Lee Zeldin,REP,479,,,
Jefferson,Champion 1,Governor,,Lee Zeldin,REP,646,,,
Jefferson,Champion 2,Governor,,Lee Zeldin,REP,287,,,
Jefferson,Clayton 1,Governor,,Lee Zeldin,REP,365,,,
Jefferson,Clayton 2,Governor,,Lee Zeldin,REP,392,,,
Jefferson,Clayton 3,Governor,,Lee Zeldin,REP,535,,,
Jefferson,Ellisburg 1,Governor,,Lee Zeldin,REP,125,,,
Jefferson,Elllisburg 2,Governor,,Lee Zeldin,REP,326,,,
Jefferson,Ellisburg 3,Governor,,Lee Zeldin,REP,49,,,
Jefferson,Ellisburg 4,Governor,,Lee Zeldin,REP,400,,,
Jefferson,Henderson 1,Governor,,Lee Zeldin,REP,476,,,
Jefferson,Hounsfield 1,Governor,,Lee Zeldin,REP,290,,,
Jefferson,Hounsfield 2,Governor,,Lee Zeldin,REP,549,,,
Jefferson,LeRay 1,Governor,,Lee Zeldin,REP,200,,,
Jefferson,LeRay 2,Governor,,Lee Zeldin,REP,77,,,
Jefferson,LeRay 3,Governor,,Lee Zeldin,REP,119,,,
Jefferson,LeRay 4,Governor,,Lee Zeldin,REP,308,,,
Jefferson,LeRay 5,Governor,,Lee Zeldin,REP,141,,,
Jefferson,LeRay 6,Governor,,Lee Zeldin,REP,87,,,
Jefferson,LeRay 7,Governor,,Lee Zeldin,REP,31,,,
Jefferson,LeRay 8,Governor,,Lee Zeldin,REP,261,,,
Jefferson,Lorraine 1,Governor,,Lee Zeldin,REP,312,,,
Jefferson,Lyme 1,Governor,,Lee Zeldin,REP,249,,,
Jefferson,Lyme 2,Governor,,Lee Zeldin,REP,302,,,
Jefferson,Lyme 3,Governor,,Lee Zeldin,REP,151,,,
Jefferson,Orleans 1,Governor,,Lee Zeldin,REP,498,,,
Jefferson,Orleans 2,Governor,,Lee Zeldin,REP,250,,,
Jefferson,Pamelia 1,Governor,,Lee Zeldin,REP,431,,,
Jefferson,Pamelia 2,Governor,,Lee Zeldin,REP,409,,,
Jefferson,Philadelphia 1,Governor,,Lee Zeldin,REP,154,,,
Jefferson,Philadelphia 2,Governor,,Lee Zeldin,REP,201,,,
Jefferson,Rodman 1,Governor,,Lee Zeldin,REP,395,,,
Jefferson,Rutland 1,Governor,,Lee Zeldin,REP,352,,,
Jefferson,Rutland 2,Governor,,Lee Zeldin,REP,275,,,
Jefferson,Rutland 3,Governor,,Lee Zeldin,REP,78,,,
Jefferson,Theresa 1,Governor,,Lee Zeldin,REP,655,,,
Jefferson,Watertown 1,Governor,,Lee Zeldin,REP,531,,,
Jefferson,Watertown 2,Governor,,Lee Zeldin,REP,601,,,
Jefferson,Wilna 1,Governor,,Lee Zeldin,REP,70,,,
Jefferson,Wilna 2,Governor,,Lee Zeldin,REP,16,,,
Jefferson,Wilna 3,Governor,,Lee Zeldin,REP,48,,,
Jefferson,Wilna 4,Governor,,Lee Zeldin,REP,147,,,
Jefferson,Wilna 5,Governor,,Lee Zeldin,REP,364,,,
Jefferson,Wilna 6,Governor,,Lee Zeldin,REP,302,,,
Jefferson,Worth 1,Governor,,Lee Zeldin,REP,97,,,
Jefferson,City 12/1,Governor,,Lee Zeldin,CON,54,,,
Jefferson,City 12/2,Governor,,Lee Zeldin,CON,37,,,
Jefferson,City 12/3,Governor,,Lee Zeldin,CON,30,,,
Jefferson,13/1,Governor,,Lee Zeldin,CON,34,,,
Jefferson,13/2,Governor,,Lee Zeldin,CON,30,,,
Jefferson,13/3,Governor,,Lee Zeldin,CON,22,,,
Jefferson,14/1,Governor,,Lee Zeldin,CON,39,,,
Jefferson,14/2,Governor,,Lee Zeldin,CON,16,,,
Jefferson,15/1,Governor,,Lee Zeldin,CON,29,,,
Jefferson,15/2,Governor,,Lee Zeldin,CON,43,,,
Jefferson,15/3,Governor,,Lee Zeldin,CON,15,,,
Jefferson,Adams 1,Governor,,Lee Zeldin,CON,22,,,
Jefferson,Adams 2,Governor,,Lee Zeldin,CON,19,,,
Jefferson,Adams 3,Governor,,Lee Zeldin,CON,58,,,
Jefferson,Alexandria 1,Governor,,Lee Zeldin,CON,21,,,
Jefferson,Alexandria 2,Governor,,Lee Zeldin,CON,24,,,
Jefferson,Alexandria 3,Governor,,Lee Zeldin,CON,37,,,
Jefferson,Antwerp 1,Governor,,Lee Zeldin,CON,19,,,
Jefferson,Antwerp 2,Governor,,Lee Zeldin,CON,37,,,
Jefferson,Brownville 1,Governor,,Lee Zeldin,CON,25,,,
Jefferson,Brownville 2,Governor,,Lee Zeldin,CON,25,,,
Jefferson,Brownville 3,Governor,,Lee Zeldin,CON,37,,,
Jefferson,Brownville 4,Governor,,Lee Zeldin,CON,21,,,
Jefferson,Brownville 5,Governor,,Lee Zeldin,CON,32,,,
Jefferson,Cape Vincent 1,Governor,,Lee Zeldin,CON,15,,,
Jefferson,Cape Vincent 2,Governor,,Lee Zeldin,CON,62,,,
Jefferson,Champion 1,Governor,,Lee Zeldin,CON,53,,,
Jefferson,Champion 2,Governor,,Lee Zeldin,CON,25,,,
Jefferson,Clayton 1,Governor,,Lee Zeldin,CON,45,,,
Jefferson,Clayton 2,Governor,,Lee Zeldin,CON,36,,,
Jefferson,Clayton 3,Governor,,Lee Zeldin,CON,54,,,
Jefferson,Ellisburg 1,Governor,,Lee Zeldin,CON,6,,,
Jefferson,Elllisburg 2,Governor,,Lee Zeldin,CON,33,,,
Jefferson,Ellisburg 3,Governor,,Lee Zeldin,CON,4,,,
Jefferson,Ellisburg 4,Governor,,Lee Zeldin,CON,32,,,
Jefferson,Henderson 1,Governor,,Lee Zeldin,CON,36,,,
Jefferson,Hounsfield 1,Governor,,Lee Zeldin,CON,30,,,
Jefferson,Hounsfield 2,Governor,,Lee Zeldin,CON,53,,,
Jefferson,LeRay 1,Governor,,Lee Zeldin,CON,14,,,
Jefferson,LeRay 2,Governor,,Lee Zeldin,CON,9,,,
Jefferson,LeRay 3,Governor,,Lee Zeldin,CON,12,,,
Jefferson,LeRay 4,Governor,,Lee Zeldin,CON,34,,,
Jefferson,LeRay 5,Governor,,Lee Zeldin,CON,13,,,
Jefferson,LeRay 6,Governor,,Lee Zeldin,CON,3,,,
Jefferson,LeRay 7,Governor,,Lee Zeldin,CON,5,,,
Jefferson,LeRay 8,Governor,,Lee Zeldin,CON,28,,,
Jefferson,Lorraine 1,Governor,,Lee Zeldin,CON,36,,,
Jefferson,Lyme 1,Governor,,Lee Zeldin,CON,34,,,
Jefferson,Lyme 2,Governor,,Lee Zeldin,CON,33,,,
Jefferson,Lyme 3,Governor,,Lee Zeldin,CON,12,,,
Jefferson,Orleans 1,Governor,,Lee Zeldin,CON,51,,,
Jefferson,Orleans 2,Governor,,Lee Zeldin,CON,25,,,
Jefferson,Pamelia 1,Governor,,Lee Zeldin,CON,50,,,
Jefferson,Pamelia 2,Governor,,Lee Zeldin,CON,42,,,
Jefferson,Philadelphia 1,Governor,,Lee Zeldin,CON,14,,,
Jefferson,Philadelphia 2,Governor,,Lee Zeldin,CON,23,,,
Jefferson,Rodman 1,Governor,,Lee Zeldin,CON,37,,,
Jefferson,Rutland 1,Governor,,Lee Zeldin,CON,33,,,
Jefferson,Rutland 2,Governor,,Lee Zeldin,CON,24,,,
Jefferson,Rutland 3,Governor,,Lee Zeldin,CON,9,,,
Jefferson,Theresa 1,Governor,,Lee Zeldin,CON,66,,,
Jefferson,Watertown 1,Governor,,Lee Zeldin,CON,62,,,
Jefferson,Watertown 2,Governor,,Lee Zeldin,CON,62,,,
Jefferson,Wilna 1,Governor,,Lee Zeldin,CON,11,,,
Jefferson,Wilna 2,Governor,,Lee Zeldin,CON,3,,,
Jefferson,Wilna 3,Governor,,Lee Zeldin,CON,2,,,
Jefferson,Wilna 4,Governor,,Lee Zeldin,CON,16,,,
Jefferson,Wilna 5,Governor,,Lee Zeldin,CON,27,,,
Jefferson,Wilna 6,Governor,,Lee Zeldin,CON,32,,,
Jefferson,Worth 1,Governor,,Lee Zeldin,CON,3,,,
Jefferson,City 12/1,Governor,,Kathy C. Hochul,WOR,18,,,
Jefferson,City 12/2,Governor,,Kathy C. Hochul,WOR,20,,,
Jefferson,City 12/3,Governor,,Kathy C. Hochul,WOR,9,,,
Jefferson,13/1,Governor,,Kathy C. Hochul,WOR,18,,,
Jefferson,13/2,Governor,,Kathy C. Hochul,WOR,12,,,
Jefferson,13/3,Governor,,Kathy C. Hochul,WOR,10,,,
Jefferson,14/1,Governor,,Kathy C. Hochul,WOR,16,,,
Jefferson,14/2,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,15/1,Governor,,Kathy C. Hochul,WOR,7,,,
Jefferson,15/2,Governor,,Kathy C. Hochul,WOR,10,,,
Jefferson,15/3,Governor,,Kathy C. Hochul,WOR,2,,,
Jefferson,Adams 1,Governor,,Kathy C. Hochul,WOR,13,,,
Jefferson,Adams 2,Governor,,Kathy C. Hochul,WOR,6,,,
Jefferson,Adams 3,Governor,,Kathy C. Hochul,WOR,8,,,
Jefferson,Alexandria 1,Governor,,Kathy C. Hochul,WOR,11,,,
Jefferson,Alexandria 2,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,Alexandria 3,Governor,,Kathy C. Hochul,WOR,13,,,
Jefferson,Antwerp 1,Governor,,Kathy C. Hochul,WOR,9,,,
Jefferson,Antwerp 2,Governor,,Kathy C. Hochul,WOR,5,,,
Jefferson,Brownville 1,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,Brownville 2,Governor,,Kathy C. Hochul,WOR,6,,,
Jefferson,Brownville 3,Governor,,Kathy C. Hochul,WOR,5,,,
Jefferson,Brownville 4,Governor,,Kathy C. Hochul,WOR,5,,,
Jefferson,Brownville 5,Governor,,Kathy C. Hochul,WOR,9,,,
Jefferson,Cape Vincent 1,Governor,,Kathy C. Hochul,WOR,8,,,
Jefferson,Cape Vincent 2,Governor,,Kathy C. Hochul,WOR,13,,,
Jefferson,Champion 1,Governor,,Kathy C. Hochul,WOR,6,,,
Jefferson,Champion 2,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,Clayton 1,Governor,,Kathy C. Hochul,WOR,8,,,
Jefferson,Clayton 2,Governor,,Kathy C. Hochul,WOR,11,,,
Jefferson,Clayton 3,Governor,,Kathy C. Hochul,WOR,21,,,
Jefferson,Ellisburg 1,Governor,,Kathy C. Hochul,WOR,1,,,
Jefferson,Elllisburg 2,Governor,,Kathy C. Hochul,WOR,6,,,
Jefferson,Ellisburg 3,Governor,,Kathy C. Hochul,WOR,3,,,
Jefferson,Ellisburg 4,Governor,,Kathy C. Hochul,WOR,7,,,
Jefferson,Henderson 1,Governor,,Kathy C. Hochul,WOR,10,,,
Jefferson,Hounsfield 1,Governor,,Kathy C. Hochul,WOR,12,,,
Jefferson,Hounsfield 2,Governor,,Kathy C. Hochul,WOR,17,,,
Jefferson,LeRay 1,Governor,,Kathy C. Hochul,WOR,3,,,
Jefferson,LeRay 2,Governor,,Kathy C. Hochul,WOR,0,,,
Jefferson,LeRay 3,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,LeRay 4,Governor,,Kathy C. Hochul,WOR,8,,,
Jefferson,LeRay 5,Governor,,Kathy C. Hochul,WOR,9,,,
Jefferson,LeRay 6,Governor,,Kathy C. Hochul,WOR,3,,,
Jefferson,LeRay 7,Governor,,Kathy C. Hochul,WOR,0,,,
Jefferson,LeRay 8,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,Lorraine 1,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,Lyme 1,Governor,,Kathy C. Hochul,WOR,2,,,
Jefferson,Lyme 2,Governor,,Kathy C. Hochul,WOR,12,,,
Jefferson,Lyme 3,Governor,,Kathy C. Hochul,WOR,6,,,
Jefferson,Orleans 1,Governor,,Kathy C. Hochul,WOR,7,,,
Jefferson,Orleans 2,Governor,,Kathy C. Hochul,WOR,9,,,
Jefferson,Pamelia 1,Governor,,Kathy C. Hochul,WOR,7,,,
Jefferson,Pamelia 2,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,Philadelphia 1,Governor,,Kathy C. Hochul,WOR,4,,,
Jefferson,Philadelphia 2,Governor,,Kathy C. Hochul,WOR,2,,,
Jefferson,Rodman 1,Governor,,Kathy C. Hochul,WOR,4,,,
